Date,Open,High,Low,Close,Adj Close,Volume
2021-09-09,44.575001,45.380001,43.590000,44.610001,44.610001,4319700
2021-09-10,46.040001,47.705002,44.650002,44.700001,44.700001,9121800
2021-09-13,45.000000,46.930000,42.305000,45.950001,45.950001,9117800
2021-09-14,46.000000,47.030998,43.619999,44.490002,44.490002,6361900
2021-09-15,44.189999,44.500000,42.540001,42.830002,42.830002,6807100
2021-09-16,42.500000,44.049999,42.049999,43.759998,43.759998,5336400
2021-09-17,43.669998,45.154999,43.400002,44.910000,44.910000,14183500
2021-09-20,43.139999,43.709999,41.770000,42.820000,42.820000,6551000
2021-09-21,43.180000,43.650002,42.349998,43.189999,43.189999,4332600
2021-09-22,43.080002,44.970001,42.060001,44.680000,44.680000,4483600
2021-09-23,45.330002,45.450001,43.842999,44.560001,44.560001,3939300
2021-09-24,44.200001,45.099998,42.930000,43.020000,43.020000,4589700
2021-09-27,42.810001,45.630001,41.209999,45.029999,45.029999,6516600
2021-09-28,44.263000,45.000000,42.900002,42.950001,42.950001,4309700
2021-09-29,43.169998,43.349998,41.490002,41.610001,41.610001,3926500
2021-09-30,41.570000,44.580002,41.529999,44.000000,44.000000,7169400
2021-10-01,44.849998,45.529999,44.040001,44.549999,44.549999,5686200
2021-10-04,43.700001,43.770000,40.669998,40.990002,40.990002,6248100
2021-10-05,41.110001,41.630001,40.270000,41.009998,41.009998,4776500
2021-10-06,40.299999,41.560001,39.939999,40.900002,40.900002,5270800
2021-10-07,41.270000,44.490002,41.040001,44.009998,44.009998,6305900
2021-10-08,43.970001,44.570000,42.799999,43.220001,43.220001,2532200
2021-10-11,43.680000,46.880001,43.680000,45.060001,45.060001,7317100
2021-10-12,45.169998,49.250000,45.169998,48.889999,48.889999,9999300
2021-10-13,49.540001,51.419998,48.380001,49.660000,49.660000,6791000
2021-10-14,50.075001,51.250000,48.450001,49.410000,49.410000,4671300
2021-10-15,49.970001,50.605000,48.520000,48.639999,48.639999,7270800
2021-10-18,47.970001,49.139999,47.803001,48.619999,48.619999,3752800
2021-10-19,49.127998,52.840000,48.840000,51.619999,51.619999,7826800
2021-10-20,51.790001,52.255001,50.680000,51.720001,51.720001,3905100
2021-10-21,51.759998,53.685001,51.395000,52.959999,52.959999,4465900
2021-10-22,52.660000,52.900002,50.790001,51.689999,51.689999,3574100
2021-10-25,52.080002,54.599998,51.750000,54.230000,54.230000,3337800
